school,logo,type,color,alt_color
Mississippi State,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,P5,#762123,#c8c8c8
Missouri,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,P5,#000000,#000000
Navy,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,G5,#131630,#b6a77c
NC State,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,P5,#EF1216,#231f20
Nebraska,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,P5,#F20017,#f5f1e7
Nevada,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,G5,#153E5F,#8e9295
New Mexico,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,G5,#000000,#231f20
New Mexico State,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,G5,#891216,#000000
North Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,P5,#99bfe5,#13294b
Northern Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,G5,#F1122C,#cc0000
North Texas,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,G5,#00853D,#000000
Northwestern,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,P5,#372286,#d6cac1
Notre Dame,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,P5,#00122b,#ae9142
Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,G5,#295A29,#e4bb85
Ohio State,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,P5,#DE3121,#666666
Oklahoma,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,P5,#7b0000,#cccccc
Oklahoma State,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,P5,#FF6500,#ff9900
Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,G5,#00507d,#a1d2f1
Ole Miss,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,P5,#001148,#00205b
Oregon,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,P5,#044520,#fee123
Oregon State,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,P5,#c34500,#dea076
Penn State,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,P5,#00265D,#002e5c
Pittsburgh,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,P5,#003263,#231f20
Purdue,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,P5,#B89D29,#a4a9ad
Rice,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,G5,#003D7D,#d1d5d8
Rutgers,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,P5,#d21034,#ffffff
San Diego State,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,G5,#BF2C37,#a8996e
San José State,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,G5,#005893,#fdba31
SMU,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,G5,#E32F38,#ecdcb9
South Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,G5,#003E7E,#ffffff
South Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,P5,#670010,#000000
Southern Mississippi,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,G5,#FFAA3C,#ffc423
South Florida,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,G5,#004A36,#231f20
Stanford,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,P5,#A80532,#ffffff
Syracuse,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,P5,#F37321,#0d1d37
TCU,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,P5,#3C377D,#f1f2f3
Temple,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,G5,#A80532,#a7a9ac
Tennessee,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,P5,#EE9627,#ffffff
Texas,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,P5,#EE7524,#f0f0f0
Texas A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,P5,#5C0025,#ffffff
Texas State,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,G5,#4e1719,#b4975a
Texas Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,P5,#C80025,#231f20
Toledo,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,G5,#00488F,#ffd51d
Troy,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,G5,#AE0210,#88898c
Tulane,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,G5,#005837,#3baf29
Tulsa,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,G5,#004371,#ee3b33
UAB,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,G5,#003b28,#ffc845
UCF,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,G5,#000000,#231f20
UCLA,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,P5,#005C8E,#ffc72c
UMass,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,G5,#880007,#ffffff
UNLV,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,G5,#000000,#c2c4c6
USC,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,P5,#AE2531,#ffc72c
Utah,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,P5,#890012,#7e8083
Utah State,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,G5,#003263,#949ca1
UTEP,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,G5,#002843,#ff6f12
UT San Antonio,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,G5,#002A5C,#f47321
Vanderbilt,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,P5,#000000,#231f20
Virginia,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,P5,#00204e,#002d62
Virginia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,P5,#74232D,#c2c1ba
Wake Forest,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,P5,#9E7E38,#000000
Washington,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,P5,#2B2F64,#e8e3d3
Washington State,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,P5,#94022a,#6a747c
Western Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,G5,#F32026,#b3b5b8
Western Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,G5,#B59966,#bfa979
West Virginia,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,P5,#FFC600,#eaaa00
Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,P5,#A00001,#f7f7f7
Wyoming,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,G5,#533B22,#ffffff
Abilene Christian,http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png,FCS,#4e2683,#ebebeb
Alabama A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,FCS,#790000,#ffffff
Alabama State,http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,FCS,#e9a900,#0a0a0a
Albany,http://a.espncdn.com/i/teamlogos/ncaa/500/399.png,FCS,#3D2777,#ffffff
Alcorn State,http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,FCS,#4b0058,#46166a
Alderson-Broaddus,http://a.espncdn.com/i/teamlogos/ncaa/500/2017.png,Other,#ffffff,#ffffff
American International,http://a.espncdn.com/i/teamlogos/ncaa/500/2022.png,Other,#000000,#ffffff
Amherst College,http://a.espncdn.com/i/teamlogos/ncaa/500/7.png,Other,#000000,#ffffff
Anderson (IN),http://a.espncdn.com/i/teamlogos/ncaa/500/2023.png,Other,#000000,#ffffff
Arkansas-Pine Bluff,http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,FCS,#e0aa0f,#eaaa00
Arkansas Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2033.png,Other,#000000,#ffffff
Austin Peay,http://a.espncdn.com/i/teamlogos/ncaa/500/2046.png,FCS,#8e0b0b,#ffffff
Bemidji State,http://a.espncdn.com/i/teamlogos/ncaa/500/132.png,Other,#000000,#ffffff
Bentley,http://a.espncdn.com/i/teamlogos/ncaa/500/2060.png,Other,#000000,#ffffff
Bethel (TN),http://a.espncdn.com/i/teamlogos/ncaa/500/2064.png,Other,#000000,#ffffff
Bethune-Cookman,http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,FCS,#7b1831,#e9aa12
Bloomsburg,http://a.espncdn.com/i/teamlogos/ncaa/500/2071.png,Other,#000000,#ffffff
Bridgewater (VA),http://a.espncdn.com/i/teamlogos/ncaa/500/2079.png,Other,#000000,#ffffff
Brown,http://a.espncdn.com/i/teamlogos/ncaa/500/225.png,FCS,#411e09,#949300
Bryant,http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png,FCS,#000000,#9f8343
Bucknell,http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,FCS,#000060,#00316e
Butler,http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,FCS,#0d1361,#00a3e0
California (PA),http://a.espncdn.com/i/teamlogos/ncaa/500/2858.png,Other,#000000,#ffffff
Cal Poly,http://a.espncdn.com/i/teamlogos/ncaa/500/13.png,FCS,#1E4D2B,#eed897
Campbell,http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png,FCS,#000000,#ffffff
Carroll (WI),http://a.espncdn.com/i/teamlogos/ncaa/500/32.png,Other,#000000,#ffffff
Central Arkansas,http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,FCS,#a7a9ac,#8e959a
