school,logo,type,color,alt_color
Rowan,http://a.espncdn.com/i/teamlogos/ncaa/500/2827.png,Other,#000000,#ffffff
Sacramento State,http://a.espncdn.com/i/teamlogos/ncaa/500/16.png,FCS,#00573C,#cdb97d
Sacred Heart,http://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,FCS,#a40012,#c29472
Saginaw Valley,http://a.espncdn.com/i/teamlogos/ncaa/500/129.png,Other,#000000,#ffffff
Samford,http://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,FCS,#005485,#bc0023
Sam Houston State,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,FCS,#F78F1E,#f78e1e
San Diego,http://a.espncdn.com/i/teamlogos/ncaa/500/301.png,FCS,#2f99d4,#2f99d4
Savannah State,http://a.espncdn.com/i/teamlogos/ncaa/500/2542.png,Other,#280298,#f78f1e
Seton Hill College,http://a.espncdn.com/i/teamlogos/ncaa/500/611.png,Other,#000000,#ffffff
Shenandoah,http://a.espncdn.com/i/teamlogos/ncaa/500/2828.png,Other,#000000,#ffffff
Shepherd,http://a.espncdn.com/i/teamlogos/ncaa/500/2974.png,Other,#000000,#ffffff
Shippensburg,http://a.espncdn.com/i/teamlogos/ncaa/500/2559.png,Other,#000000,#ffffff
Slippery Rock,http://a.espncdn.com/i/teamlogos/ncaa/500/215.png,Other,#000000,#ffffff
South Carolina State,http://a.espncdn.com/i/teamlogos/ncaa/500/2569.png,FCS,#7d1315,#104897
South Dakota,http://a.espncdn.com/i/teamlogos/ncaa/500/233.png,FCS,#CD1241,#f0f0f0
South Dakota State,http://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,FCS,#005DAB,#c33139
Southeastern Louisiana,http://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,FCS,#007550,#dca008
Southeast Missouri State,http://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,FCS,#cc0000,#080808
Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png,FCS,#004B97,#ffc82d
Southern Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/79.png,FCS,#85283D,#c2c3c0
Southern Oregon,http://a.espncdn.com/i/teamlogos/ncaa/500/2584.png,Other,#ffffff,#ffffff
Southern Utah,http://a.espncdn.com/i/teamlogos/ncaa/500/253.png,FCS,#d10000,#c2c3c0
St. Ambrose,http://a.espncdn.com/i/teamlogos/ncaa/500/2591.png,Other,#000000,#ffffff
St. Cloud State,http://a.espncdn.com/i/teamlogos/ncaa/500/2594.png,Other,#000000,#ffffff
Stephen F. Austin,http://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,FCS,#393996,#bec0c2
Stetson,http://a.espncdn.com/i/teamlogos/ncaa/500/56.png,FCS,#18581c,#d49d5d
St Francis (PA),http://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,FCS,#a20012,#ffffff
St. Johns (MN),http://a.espncdn.com/i/teamlogos/ncaa/500/2600.png,Other,#000000,#ffffff
St Lawrence,http://a.espncdn.com/i/teamlogos/ncaa/500/2779.png,Other,#000000,#ffffff
Stony Brook,http://a.espncdn.com/i/teamlogos/ncaa/500/2619.png,FCS,#990000,#ffffff
St. Peter's,http://a.espncdn.com/i/teamlogos/ncaa/500/2612.png,Other,#001555,#ffffff
St. Thomas (MN),http://a.espncdn.com/i/teamlogos/ncaa/500/2900.png,FCS,#000000,#ffffff
Tarleton State,http://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,FCS,#000000,#ffffff
Tennessee State,http://a.espncdn.com/i/teamlogos/ncaa/500/2634.png,FCS,#383C84,#f0f0f0
Tennessee Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2635.png,FCS,#5A4099,#ffde00
Texas A&M-Commerce,http://a.espncdn.com/i/teamlogos/ncaa/500/2837.png,Other,#000000,#ffffff
Texas Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,FCS,#6A0403,#ebebeb
The Citadel,http://a.espncdn.com/i/teamlogos/ncaa/500/2643.png,FCS,#002b5c,#f0f0f0
Towson,http://a.espncdn.com/i/teamlogos/ncaa/500/119.png,FCS,#FFC229,#ffffff
Trinity (IL),http://a.espncdn.com/i/teamlogos/ncaa/500/2652.png,Other,#000000,#ffffff
Tuskegee,http://a.espncdn.com/i/teamlogos/ncaa/500/2657.png,Other,#000000,#ffffff
UC Davis,http://a.espncdn.com/i/teamlogos/ncaa/500/302.png,FCS,#183563,#bc9305
UMass Dartmouth,http://a.espncdn.com/i/teamlogos/ncaa/500/379.png,Other,#000000,#ffffff
UMass Lowell,http://a.espncdn.com/i/teamlogos/ncaa/500/2349.png,Other,#000000,#cf1f2f
UT Martin,http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png,FCS,#FF6700,#102a5c
Valdosta State,http://a.espncdn.com/i/teamlogos/ncaa/500/2673.png,Other,#000000,#ffffff
Valparaiso,http://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,FCS,#794500,#ffffff
Villanova,http://a.espncdn.com/i/teamlogos/ncaa/500/222.png,FCS,#123d7C,#f0f0f0
VMI,http://a.espncdn.com/i/teamlogos/ncaa/500/2678.png,FCS,#E52D37,#eec52b
Wagner,http://a.espncdn.com/i/teamlogos/ncaa/500/2681.png,FCS,#00483A,#ffffff
Washington (MO),http://a.espncdn.com/i/teamlogos/ncaa/500/143.png,Other,#000000,#ffffff
Weber State,http://a.espncdn.com/i/teamlogos/ncaa/500/2692.png,FCS,#18005a,#ebebeb
West Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/2695.png,Other,#000000,#ffffff
West Chester,http://a.espncdn.com/i/teamlogos/ncaa/500/223.png,Other,#000000,#ffffff
Western Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/2717.png,FCS,#492F91,#bf9e70
Western Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,FCS,#4e1e8a,#ffc90a
Western Oregon,http://a.espncdn.com/i/teamlogos/ncaa/500/2848.png,Other,#000000,#ffffff
West Texas A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/2704.png,Other,#000000,#ffffff
West Virginia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2706.png,Other,#000000,#ffffff
Wheaton College (Ill),http://a.espncdn.com/i/teamlogos/ncaa/500/396.png,Other,#000000,#ffffff
William Jewell College,http://a.espncdn.com/i/teamlogos/ncaa/500/2911.png,Other,#000000,#ffffff
William & Mary,http://a.espncdn.com/i/teamlogos/ncaa/500/2729.png,FCS,#103217,#f6b220
Winston-Salem,http://a.espncdn.com/i/teamlogos/ncaa/500/2736.png,Other,#bb0100,#ffffff
Wisconsin-Platteville,http://a.espncdn.com/i/teamlogos/ncaa/500/272.png,Other,#000000,#ffffff
Wofford,http://a.espncdn.com/i/teamlogos/ncaa/500/2747.png,FCS,#533B23,#f0f0f0
Worcester State College,http://a.espncdn.com/i/teamlogos/ncaa/500/402.png,Other,#000000,#ffffff
Wright State University,http://a.espncdn.com/i/teamlogos/ncaa/500/2750.png,Other,#a36209,#e2b629
Yale,http://a.espncdn.com/i/teamlogos/ncaa/500/43.png,FCS,#004a81,#286dc0
Youngstown State,http://a.espncdn.com/i/teamlogos/ncaa/500/2754.png,FCS,#E51936,#690717
Chowan,http://a.espncdn.com/i/teamlogos/ncaa/500/2804.png,Other,#000000,#ffffff
Dixie State,http://a.espncdn.com/i/teamlogos/ncaa/500/3101.png,FCS,#000000,#ffffff
Hofstra,http://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,Other,#27297c,#f6c934
Northeastern,http://a.espncdn.com/i/teamlogos/ncaa/500/111.png,Other,#cc0001,#c2c3c0
Shorter,http://a.espncdn.com/i/teamlogos/ncaa/500/2560.png,Other,#000000,#ffffff
University of Mary,http://a.espncdn.com/i/teamlogos/ncaa/500/559.png,Other,#000000,#ffffff
Adams St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/adams-st.svg,DII,NA,NA
Alabama A&M,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-am.svg,DII,#790000,#ffffff
Albany St. (GA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-st-ga.svg,DII,NA,NA
Alderson Broaddus,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alderson-broaddus.svg,DII,NA,NA
Allen,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/allen.svg,DII,NA,NA
American Int'l,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/american-intl.svg,DII,NA,NA
Angelo St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/angelo-st.svg,DII,NA,NA
Ark.-Monticello,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ark-monticello.svg,DII,NA,NA
Arkansas Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-tech.svg,DII,#000000,#ffffff
Ashland,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ashland.svg,DII,#000000,#ffffff
Assumption,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/assumption.svg,DII,#000000,#ffffff
Augustana (SD),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/augustana-sd.svg,DII,#000000,#ffffff
Barton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/barton.svg,DII,NA,NA
Bemidji St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bemidji-st.svg,DII,NA,NA
Benedict,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/benedict.svg,DII,#000000,#ffffff
Bentley,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bentley.svg,DII,#000000,#ffffff
Black Hills St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/black-hills-st.svg,DII,NA,NA
Bloomsburg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bloomsburg.svg,DII,#000000,#ffffff
Bowie St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bowie-st.svg,DII,NA,NA
Cal U (PA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/california-pa.svg,DII,NA,NA
Carson-Newman,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/carson-newman.svg,DII,#000000,#ffffff
Catawba,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/catawba.svg,DII,#000000,#ffffff
Central Mo.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/central-mo.svg,DII,NA,NA
Central Okla.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/central-okla.svg,DII,NA,NA
Central St. (OH),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/central-st-oh.svg,DII,NA,NA
Central Wash.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/central-wash.svg,DII,NA,NA
Chadron St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/chadron-st.svg,DII,NA,NA
Charleston (WV),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/charleston-wv.svg,DII,#000000,#ffffff
Chowan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/chowan.svg,DII,#000000,#ffffff
Clarion,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/clarion.svg,DII,#000000,#ffffff
Clark Atlanta,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/clark-atlanta.svg,DII,#000000,#ffffff
Colo. Sch. of Mines,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado-mines.svg,DII,NA,NA
Colorado Mesa,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado-mesa.svg,DII,#000000,#ffffff
Concord,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/concord.svg,DII,#000000,#ffffff
Concordia-St. Paul,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/concordia-st-paul.svg,DII,#000000,#ffffff
CSU Pueblo,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado-st-pueblo.svg,DII,NA,NA
Davenport,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/davenport.svg,DII,NA,NA
Delta St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/delta-st.svg,DII,NA,NA
East Central,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/east-central.svg,DII,#000000,#ffffff
East Stroudsburg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/east-stroudsburg.svg,DII,#000000,#ffffff
Eastern N.M.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-nm.svg,DII,NA,NA
Edinboro,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/edinboro.svg,DII,#000000,#ffffff
Edward Waters,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/edward-waters.svg,DII,#ffffff,#ffffff
Elizabeth City St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/elizabeth-city-st.svg,DII,NA,NA
Emporia St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/emporia-st.svg,DII,NA,NA
Erskine,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/erskine.svg,DII,#ffffff,#ffffff
Fairmont St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/fairmont-st.svg,DII,NA,NA
Fayetteville St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/fayetteville-st.svg,DII,NA,NA
Ferris St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ferris-st.svg,DII,NA,NA
Findlay,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/findlay.svg,DII,#000000,#ffffff
Fort Hays St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/fort-hays-st.svg,DII,NA,NA
Fort Lauderdale,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/fort-lauderdale.svg,DII,NA,NA
Fort Lewis,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/fort-lewis.svg,DII,#000000,#ffffff
Fort Valley St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/fort-valley-st.svg,DII,NA,NA
Franklin Pierce,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/franklin-pierce.svg,DII,NA,NA
Frostburg St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/frostburg-st.svg,DII,NA,NA
Gannon,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gannon.svg,DII,#000000,#ffffff
Glenville St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/glenville-st.svg,DII,NA,NA
Grand Valley St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/grand-valley-st.svg,DII,NA,NA
Harding,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/harding.svg,DII,#000000,#ffffff
Henderson St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/henderson-st.svg,DII,NA,NA
Hillsdale,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hillsdale.svg,DII,#000000,#ffffff
Indiana (PA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana-pa.svg,DII,#000000,#ffffff
Jackson St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/jackson-st.svg,DII,NA,NA
Johnson C. Smith,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/johnson-c-smith.svg,DII,NA,NA
Kentucky St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kentucky-st.svg,DII,NA,NA
Kutztown,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kutztown.svg,DII,#000000,#ffffff
Ky. Wesleyan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ky-wesleyan.svg,DII,NA,NA
Lake Erie,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lake-erie.svg,DII,NA,NA
Lane,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lane.svg,DII,#000000,#ffffff
Lenoir-Rhyne,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lenoir-rhyne.svg,DII,#000000,#ffffff
Limestone,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/limestone.svg,DII,#ffffff,#ffffff
Lincoln (CA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lincoln-ca.svg,DII,NA,NA
Lincoln (MO),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lincoln-mo.svg,DII,#000000,#ffffff
Lincoln (PA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lincoln-pa.svg,DII,#000000,#ffffff
Lindenwood,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lindenwood-mo.svg,DII,#000000,#ffffff
Livingstone,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/livingstone.svg,DII,#000000,#ffffff
Lock Haven,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lock-haven.svg,DII,#000000,#ffffff
Mars Hill,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mars-hill.svg,DII,#000000,#ffffff
Mary,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mary.svg,DII,NA,NA
McKendree,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mckendree.svg,DII,#000000,#ffffff
Mercyhurst,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mercyhurst.svg,DII,#000000,#ffffff
Michigan Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-tech.svg,DII,#000000,#ffffff
Midwestern St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/midwestern-st.svg,DII,NA,NA
Miles,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/miles.svg,DII,#000000,#ffffff
Millersville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/millersville.svg,DII,#000000,#ffffff
Minn. Duluth,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/minn-duluth.svg,DII,NA,NA
Minnesota St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/minn-st-mankato.svg,DII,NA,NA
Minot St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/minot-st.svg,DII,NA,NA
Mississippi Col.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mississippi-col.svg,DII,NA,NA
Missouri S&T,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri-snt.svg,DII,#000000,#ffffff
Missouri Western,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mo-western-st.svg,DII,#000000,#ffffff
Mo. Southern St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mo-southern-st.svg,DII,NA,NA
Morehouse,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/morehouse.svg,DII,#000000,#ffffff
MSU Moorhead,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/minn-st-moorhead.svg,DII,NA,NA
N.M. Highlands,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/nm-highlands.svg,DII,NA,NA
Neb.-Kearney,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/neb-kearney.svg,DII,NA,NA
New Haven,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/new-haven.svg,DII,#000000,#ffffff
Newberry,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/newberry.svg,DII,#000000,#ffffff
North Greenville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/north-greenville.svg,DII,#000000,#ffffff
Northeastern St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/northeastern-st.svg,DII,NA,NA
Northern Mich.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-mich.svg,DII,NA,NA
Northern St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-st.svg,DII,NA,NA
Northwest Mo. St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/northwest-mo-st.svg,DII,NA,NA
Northwestern Okla.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/northwestern-okla.svg,DII,NA,NA
Northwood,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/northwood-mi.svg,DII,NA,NA
Notre Dame (OH),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/notre-dame-oh.svg,DII,NA,NA
Ohio Dominican,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-dominican.svg,DII,#ffffff,#ffffff
Okla. Baptist,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/okla-baptist.svg,DII,NA,NA
Ouachita Baptist,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ouachita-baptist.svg,DII,#000000,#ffffff
Pace,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/pace.svg,DII,#000000,#ffffff
Pittsburg St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/pittsburg-st.svg,DII,NA,NA
Quincy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/quincy.svg,DII,#000000,#ffffff
Saginaw Valley,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/saginaw-valley.svg,DII,#000000,#ffffff
Saint Augustine's,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-augustines.svg,DII,NA,NA
Savannah St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/savannah-st.svg,DII,NA,NA
Seton Hill,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/seton-hill.svg,DII,NA,NA
Shaw,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/shaw.svg,DII,#000000,#ffffff
Shepherd,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/shepherd.svg,DII,#000000,#ffffff
Shippensburg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/shippensburg.svg,DII,#000000,#ffffff
Shorter,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/shorter.svg,DII,#000000,#ffffff
Simon Fraser,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/simon-fraser.svg,DII,#000000,#ffffff
Sioux Falls,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/sioux-falls.svg,DII,#000000,#ffffff
Slippery Rock,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/slippery-rock.svg,DII,#000000,#ffffff
South Dakota Mines,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/south-dakota-mines.svg,DII,#000000,#ffffff
Southeastern Okla.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southeastern-okla.svg,DII,NA,NA
Southern Ark.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-ark.svg,DII,NA,NA
Southern Conn. St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-conn-st.svg,DII,NA,NA
Southern Nazarene,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-nazarene.svg,DII,#000000,#ffffff
Southwest Baptist,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southwest-baptist.svg,DII,#000000,#ffffff
Southwest Minn. St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southwest-minn-st.svg,DII,NA,NA
Southwestern Okla.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southwestern-okla.svg,DII,NA,NA
St. Anselm,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-anselm.svg,DII,#000000,#ffffff
Stonehill,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/stonehill.svg,DII,#000000,#ffffff
Tarleton St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tarleton-st.svg,DII,NA,NA
Tex. A&M-Commerce,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tex-am-commerce.svg,DII,NA,NA
Tex. A&M-Kingsville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tex-am-kingsville.svg,DII,NA,NA
Tex. Permian Basin,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tex-permian-basin.svg,DII,NA,NA
Texas Col.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-college.svg,DII,NA,NA
Tiffin,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tiffin.svg,DII,#000000,#ffffff
Truman,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/truman.svg,DII,NA,NA
Tusculum,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tusculum.svg,DII,#000000,#ffffff
Tuskegee,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tuskegee.svg,DII,#000000,#ffffff
UIndy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/indianapolis.svg,DII,NA,NA
UNC Pembroke,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-pembroke.svg,DII,#000000,#ffffff
Upper Iowa,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/upper-iowa.svg,DII,#000000,#ffffff
UVa-Wise,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/uva-wise.svg,DII,NA,NA
Valdosta St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/valdosta-st.svg,DII,NA,NA
Virginia St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-st.svg,DII,NA,NA
Virginia Union,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-union.svg,DII,#000000,#ffffff
Virginia-Lynchburg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-lynchburg.svg,DII,NA,NA
Walsh,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/walsh.svg,DII,#000000,#ffffff
Washburn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/washburn.svg,DII,#000000,#ffffff
Wayne St. (MI),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wayne-st-mi.svg,DII,NA,NA
Wayne St. (NE),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wayne-st-ne.svg,DII,NA,NA
West Ala.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/west-ala.svg,DII,NA,NA
West Chester,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/west-chester.svg,DII,#000000,#ffffff
West Florida,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/west-florida.svg,DII,#ffffff,#ffffff
West Ga.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/west-ga.svg,DII,NA,NA
West Liberty,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/west-liberty.svg,DII,#000000,#ffffff
West Tex. A&M,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/west-tex-am.svg,DII,NA,NA
West Va. Wesleyan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/west-va-wesleyan.svg,DII,NA,NA
West Virginia St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/west-virginia-st.svg,DII,NA,NA
Western Colo.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/western-st.svg,DII,NA,NA
Western N.M.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/western-nm.svg,DII,NA,NA
