school,logo,type,color,alt_color,wordmark,Order
East Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,G5,#4b1869,#f0907b,east_carolina_pirates_logo_secondary_2009_sportslogosnet-1391.png ,28
Eastern Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,G5,#00331b,#f0f0f0,9448_eastern_michigan_eagles-alternate-2000.png,29
Florida,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,P5,#0021A5,#0021a5,9227_florida_gators-wordmark-1992.png,30
Florida Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,G5,#004B85,#bb2f4c,florida_atlantic_owls_logo_wordmark_2014_sportslogosnet-2808.png,31
Florida International,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,G5,#001538,#c5960c,5979_florida_intl_golden_panthers-wordmark-2009.png,32
Florida State,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,P5,#782F40,#ceb888,5954_florida_state_seminoles-wordmark-2014.png ,33
Fresno State,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,G5,#c41230,#231f20,fresno_state_bulldogs_logo_wordmark_2020_sportslogosnet-2559.png,34
Georgia,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,P5,#CC0000,#000000,georgia_bulldogs_logo_wordmark_20156350.png,35
Georgia Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,G5,#003775,#f0f0f0,georgia_southern_eagles_logo_wordmark_2016_sportslogosnet-9844.png,36
Georgia State,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,G5,#1e539a,#ebebeb,georgia_state_panthers_logo_wordmark_20159932.png,37
Georgia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,P5,#00223e,#002c56,georgia_tech_wordmark_gt_lockup_02.png,38
Hawai'i,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,G5,#003420,#ffffff,hawaii_warriors_logo_wordmark_2000_sportslogosnet-3044.png,39
Houston,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,G5,#C90822,#231f20,houston_cougars_logo_wordmark_20129226.png ,40
Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,P5,#f77329,#fa6300,3664_illinois_fighting_illini-wordmark-2014.png,41
Indiana,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,P5,#7D110C,#eeedeb,5051_indiana_hoosiers-wordmark-0.png,42
Iowa,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,P5,#000000,#ffe100,iowa_hawkeyes_logo_wordmark_2012_sportslogosnet-5540.png,43
Iowa State,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,P5,#660015,#830b2c,iowa_state_wordmark.png           ,44
Kansas,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,P5,#0022B4,#e8000d,1709_kansas_jayhawks-wordmark-2006.png ,45
Kansas State,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,P5,#633194,#e7d2ad,kansas_state_wildcats_logo_alternate_2019_sportslogosnet-4205.png,46
Kent State,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,G5,#002445,#f0b510,kent_state_golden_flashes_logo_wordmark_2017_sportslogosnet-7257.png,47
Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,P5,#005DAA,#ffffff,kentucky_wildcats_logo_wordmark_20162011.png,48
Liberty,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,G5,#071740,#a61f21,liberty_flames_logo_wordmark_20131049.png,49
Louisiana,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,G5,#ce2842,#ffffff,louisiana_ragin_cajuns_logo_wordmark_2018_sportslogosnet-9665.png,50
Louisiana Monroe,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,G5,#231F20,#b18445,lousiana_monroe-wordmark.png   ,51
Louisiana Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,G5,#002d65,#d3313a,la_tech_wordmark.png,52
Louisville,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,P5,#ad000a,#cccccc,8185_louisville_cardinals-wordmark-2013.png,53
LSU,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,P5,#22005c,#fdd023,lsu_tigers_logo_wordmark_20029527.png,54
Marshall,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,G5,#186329,#be854c,4715_marshall_thundering_herd-wordmark-2001.png,55
Maryland,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,P5,#D5002B,#ffcd00,maryland_terrapins_logo_wordmark_20115592.png,56
Memphis,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,G5,#002447,#231f20,memphis_tigers_logo_wordmark_2021_sportslogosnet-8745.png ,57
Miami,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,P5,#004325,#f0f0f0,2537_miami_wordmark.png,58
Miami (OH),http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,G5,#a4000c,#f0f0f0,miami_(ohio)_redhawks_logo_wordmark_20131371.png,59
Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,P5,#00274c,#ffcb05,michigan_wolverines_logo_wordmark_2016_sportslogosnet-8199.png ,60
Michigan State,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,P5,#18453B,#ffffff,michigan_state_spartans_logo_wordmark_2010_sportslogosnet-9157.png,61
Middle Tennessee,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,G5,#0079C2,#c3c5c8,middle_tennessee_blue_raiders_logo_wordmark_2015_sportslogosnet-8290.png,62
Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,P5,#7F011B,#7a0019,University_of_Minnesota_wordmark.png,63
Mississippi State,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,P5,#762123,#c8c8c8,8440_mississippi_state_bulldogs-wordmark-2009.png,64
Missouri,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,P5,#000000,#000000,missouri_tigers_logo_wordmark_2018_sportslogosnet-1762.png,65
Navy,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,G5,#131630,#b6a77c,navy_midshipmen_logo_wordmark_20095936.png,66
NC State,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,P5,#EF1216,#231f20,north_carolina_state_wolfpack_logo_wordmark_2011_sportslogosnet-5725.png,67
Nebraska,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,P5,#F20017,#f5f1e7,6089_nebraska_cornhuskers-wordmark-2016.png,68
Nevada,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,G5,#153E5F,#8e9295,5309_nevada_wolf_pack-primary-2008.png,69
New Mexico,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,G5,#000000,#231f20,new_mexico_lobos_logo_secondary_2017_sportslogosnet-2427.png,70
New Mexico State,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,G5,#891216,#000000,new_mexico_state_aggies_logo_wordmark_20056268.png ,71
North Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,P5,#99bfe5,#13294b,north_carolina_tar_heels_logo_wordmark_19965588.png,72
