school,logo,type,color,alt_color,wordmark,Order
Delaware State,http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,FCS,#FF3630,#009cdd,2822_delaward_state-wordmark.png,175
Delta State,http://a.espncdn.com/i/teamlogos/ncaa/500/2170.png,Other,#000000,#ffffff,,176
Drake,http://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,FCS,#004477,#c0c0c0,1082_drake_bulldogs-wordmark-2015.png          ,177
Duquesne,http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,FCS,#002D62,#b90b2e,9427_duquesne_dukes-wordmark-2019.png,178
Eastern Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,FCS,#000000,#bebab9,3416_eastern_illinois_panthers-wordmark-2015.png,179
Eastern Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,FCS,#660819,#f0f0f0,eastern_kentucky_colonels_logo_wordmark_2017_sportslogosnet-7217.png,180
Eastern Washington,http://a.espncdn.com/i/teamlogos/ncaa/500/331.png,FCS,#a10022,#abb4bc,2808_eastern_washington_eagles-wordmark-2000.png,181
East Stroudsburg,http://a.espncdn.com/i/teamlogos/ncaa/500/2188.png,Other,#000000,#ffffff,,182
East Tennessee State,http://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,FCS,#002d61,#ffc423,1144_etsu_buccaneers-wordmark-2014.png          ,183
Edinboro,http://a.espncdn.com/i/teamlogos/ncaa/500/2205.png,Other,#000000,#ffffff,,184
Elon,http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,FCS,#020303,#b59a57,6879_elon-wordmark.png ,185
Ferris State,http://a.espncdn.com/i/teamlogos/ncaa/500/2222.png,Other,#000000,#ffffff,,186
Florida A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/50.png,FCS,#F89728,#00843d,1146_florida_a&m_rattlers-wordmark-2013.png    ,187
Florida Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/53.png,Other,#000000,#ffffff,,188
Fordham,http://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,FCS,#830032,#909090,7723_fordham_rams-wordmark-2009.png,189
Furman,http://a.espncdn.com/i/teamlogos/ncaa/500/231.png,FCS,#4A2184,#909090,5023_furman_paladins-wordmark-2013.png,190
Gannon,http://a.espncdn.com/i/teamlogos/ncaa/500/367.png,Other,#000000,#ffffff,,191
Gardner-Webb,http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png,FCS,#c12535,#909090,gardner-webb_bulldogs_logo_wordmark_2022_sportslogosnet-3579.png,192
George Mason,http://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,Other,#016600,#ecb010,,193
Georgetown,http://a.espncdn.com/i/teamlogos/ncaa/500/46.png,FCS,#110E42,#001c58,5910_georgetown_hoyas-wordmark-1996.png,194
Graceland University,http://a.espncdn.com/i/teamlogos/ncaa/500/530.png,Other,#000000,#ffffff,,195
Grambling,http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,FCS,#ee8601,#ffd10a,,196
Grand Valley State,http://a.espncdn.com/i/teamlogos/ncaa/500/125.png,Other,#000000,#ffffff,,197
Hampton,http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,FCS,#0067AC,#ffffff,7465_hampton_pirates-wordmark-2007.png,198
Harding,http://a.espncdn.com/i/teamlogos/ncaa/500/2264.png,Other,#000000,#ffffff,,199
Harvard,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png,FCS,#990000,#dbdbdb,harvard_crimson_logo_wordmark_2020_sportslogosnet-1432.png,200
Henderson State,http://a.espncdn.com/i/teamlogos/ncaa/500/2271.png,DII,#000000,#ffffff,,201
Holy Cross,http://a.espncdn.com/i/teamlogos/ncaa/500/107.png,FCS,#0a0a0a,#080808,8252_holy_cross_crusaders-primary-2014.png,202
Houston Baptist,http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,FCS,#00539c,#ffffff,1472_houston_baptist__huskies-wordmark-2004.png ,203
Howard,http://a.espncdn.com/i/teamlogos/ncaa/500/47.png,FCS,#9e0b0e,#6b818d,3190_howard_bison-wordmark-2015.png,204
Idaho,http://a.espncdn.com/i/teamlogos/ncaa/500/70.png,FCS,#000000,#8c6e4a,idaho_vandals_logo_wordmark_2019_sportslogosnet-6367.png,205
Idaho State,http://a.espncdn.com/i/teamlogos/ncaa/500/304.png,FCS,#ef8c00,#e9a126,idaho_state_bengals_logo_wordmark_2018_sportslogosnet-2666.png ,206
Illinois State,http://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,FCS,#CE1126,#ffe716,illinois_state_redbirds_logo_wordmark_20051709.png,207
Incarnate Word,http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png,FCS,#000000,#080808,,208
Indiana (PA),http://a.espncdn.com/i/teamlogos/ncaa/500/2291.png,Other,#000000,#ffffff,,209
Indiana State,http://a.espncdn.com/i/teamlogos/ncaa/500/282.png,FCS,#00669a,#f0f0f0,1082_indiana_state_sycamores-wordmark-1991.png   ,210
Jackson State,http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,FCS,#123297,#b5b7ba,,211
Jacksonville,http://a.espncdn.com/i/teamlogos/ncaa/500/294.png,Other,#00523e,#ffffff,jacksonville-wordmark.png,212
Jacksonville State,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,FCS,#b50500,#b5b7ba,jacksonville_state_gamecocks_logo_wordmark_20028913.png,213
James Madison,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,FCS,#450084,#cbb778,3393_james_madison_dukes-wordmark-2017.png,214
Kennesaw State,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png,FCS,#000000,#fdbb30,kennesaw_state_owls_logo_wordmark_20128370.png,215
Kentucky State,http://a.espncdn.com/i/teamlogos/ncaa/500/2310.png,Other,#000000,#ffffff,,216
Kutztown,http://a.espncdn.com/i/teamlogos/ncaa/500/2315.png,Other,#000000,#ffffff,,217
Lafayette,http://a.espncdn.com/i/teamlogos/ncaa/500/322.png,FCS,#790000,#a59474,6226_lafayette_leopards-wordmark-2000.png,218
Lamar,http://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,FCS,#000000,#ebebeb,1336_lamar_cardinals-wordmark-2010.png,219
Lehigh,http://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,FCS,#6c2b2a,#b69e70,5686_lehigh_mountain_hawks-wordmark-2004.png,220
Lenoir-Rhyne,http://a.espncdn.com/i/teamlogos/ncaa/500/2331.png,Other,#000000,#ffffff,,221
Lock Haven,http://a.espncdn.com/i/teamlogos/ncaa/500/209.png,Other,#000000,#ffffff,,222
Maine,http://a.espncdn.com/i/teamlogos/ncaa/500/311.png,FCS,#127dbe,#ffffff,7221_maine_black_bears-wordmark-1999.png,223
Marist,http://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,FCS,#e53730,#f0f0f0,1592_marist_red_foxes-wordmark-2008.png,224
Mars Hill,http://a.espncdn.com/i/teamlogos/ncaa/500/2369.png,Other,#000000,#ffffff,,225
McNeese,http://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,FCS,#00529C,#ffffff,mcneese_state_cowboys_logo_wordmark_2011_sportslogosnet-2622.png ,226
Mercer,http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png,FCS,#ff7f29,#080808,mercer_bears_logo_wordmark_20078095.png,227
Mercyhurst,http://a.espncdn.com/i/teamlogos/ncaa/500/2385.png,DII,#000000,#ffffff,8100_mercyhurst_lakers-primary-2009.png,228
Merrimack,http://a.espncdn.com/i/teamlogos/ncaa/500/2771.png,FCS,#000000,#ffffff,8236_merrimack__warriors-wordmark-2005.png,229
Michigan Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2392.png,DII,#000000,#ffffff,6114_michigan_tech__huskies-wordmark-1993.png,230
Millersville,http://a.espncdn.com/i/teamlogos/ncaa/500/210.png,Other,#000000,#ffffff,,231
Minnesota-Duluth,http://a.espncdn.com/i/teamlogos/ncaa/500/134.png,DII,#000000,#ffffff,2262_minnesota-duluth__bulldogs-wordmark-0.png,232
Minnesota State,http://a.espncdn.com/i/teamlogos/ncaa/500/2364.png,DII,#000000,#ffffff,4248_minnesota_state__mavericks-wordmark-2001.png,233
Minnesota St-Moorhead,http://a.espncdn.com/i/teamlogos/ncaa/500/2817.png,Other,#000000,#ffffff,,234
Mississippi Valley State,http://a.espncdn.com/i/teamlogos/ncaa/500/2400.png,FCS,#005328,#cf2d34,,235
Missouri Baptist,http://a.espncdn.com/i/teamlogos/ncaa/500/2880.png,Other,#ffffff,#ffffff,,236
Missouri State,http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,FCS,#5F0000,#e8e8e8,1731_missouri_state__bears-alternate-2006.png,237
Montana,http://a.espncdn.com/i/teamlogos/ncaa/500/149.png,FCS,#751D4A,#666666,,238
Montana State,http://a.espncdn.com/i/teamlogos/ncaa/500/147.png,FCS,#003875,#bf965c,montana_state_bobcats_logo_wordmark_20139061.png,239
Montana-Western,http://a.espncdn.com/i/teamlogos/ncaa/500/2701.png,Other,#000000,#ffffff,,240
Morehead State,http://a.espncdn.com/i/teamlogos/ncaa/500/2413.png,FCS,#094FA3,#fed91a,morehead_state-wordmark.png ,241
Morehouse,http://a.espncdn.com/i/teamlogos/ncaa/500/60.png,DII,#000000,#ffffff,,242
Morgan State,http://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,FCS,#014786,#f47937,1032_morgan_state_bears-wordmark-2002.png    ,243
Murray State,http://a.espncdn.com/i/teamlogos/ncaa/500/93.png,FCS,#002148,#000e00,murray_state_racers_logo_wordmark_20149491.png,244
Nebraska-Omaha,http://a.espncdn.com/i/teamlogos/ncaa/500/2437.png,Other,#e3193e,#ffffff,1387_nebraska_omaha__mavericks-wordmark-2011.png ,245
New Hampshire,http://a.espncdn.com/i/teamlogos/ncaa/500/160.png,FCS,#004990,#c3c4c6,new_hampshire_wildcats_logo_wordmark_20003612.png,246
New Haven,http://a.espncdn.com/i/teamlogos/ncaa/500/2441.png,Other,#000000,#ffffff,,247
New Mexico Highlands,http://a.espncdn.com/i/teamlogos/ncaa/500/2424.png,Other,#000000,#ffffff,,248
Nicholls,http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,FCS,#C41230,#f0f0f0,2212_nicholls_state_colonels-wordmark-2009.png,249
Norfolk State,http://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,FCS,#046546,#ffffff,norfolk_state_spartans_logo_wordmark_1999_sportslogosnet-2852.png,250
North Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png,FCS,#000000,#ffffff,north_alabama_lions_logo_wordmark_2018_sportslogosnet-8285.png,251
North Carolina A&T,http://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,FCS,#0505aa,#004684,6726_north_carolina_a&t_aggies-wordmark-2006.png,252
North Carolina Central,http://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,FCS,#880023,#c2c3c0,4425_nccu_eagles-wordmark-2006.png,253
North Dakota,http://a.espncdn.com/i/teamlogos/ncaa/500/155.png,FCS,#00A26B,#c2c3c0,9147_north_dakota_fighting_hawks-wordmark-2016.png,254
North Dakota State,http://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,FCS,#01402A,#ffffff,north_dakota_state_bison_logo_wordmark_20121300.png,255
Northern Arizona,http://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,FCS,#003976,#1b3069,4807_northern_arizona_lumberjacks-wordmark-2014.png,256
Northern Colorado,http://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,FCS,#13558D,#ffc533,1071_northern_colorado_bears-wordmark-2015.png   ,257
Northern Iowa,http://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,FCS,#473282,#ffffff,5399_northern_iowa_panthers-wordmark-2002.png ,258
Northern Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/128.png,DII,#000000,#ffffff,1805_northern_michigan_wildcats_-wordmark-2016.png,259
Northwestern State,http://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,FCS,#492F91,#ed6118,7425_northwestern_state_demons-wordmark-2008.png,260
Northwest Missouri State,http://a.espncdn.com/i/teamlogos/ncaa/500/138.png,Other,#000000,#ffffff,,261
Notre Dame College,http://a.espncdn.com/i/teamlogos/ncaa/500/587.png,Other,#000000,#ffffff,,262
Pennsylvania,http://a.espncdn.com/i/teamlogos/ncaa/500/219.png,FCS,#082A74,#a6163d,,264
Portland State,http://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,FCS,#00311e,#ebebeb,2416_portland_state_vikings-wordmark-2016.png,265
Prairie View,http://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,FCS,#4d0960,#ffffff,3898_prairie_view_a&m_panthers-wordmark-2011.png,266
Presbyterian College,http://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,FCS,#194896,#990134,presbyterian_blue_hose_logo_wordmark_2013_sportslogosnet-4924.png,267
Princeton,http://a.espncdn.com/i/teamlogos/ncaa/500/163.png,FCS,#ff9408,#080808,princeton_tigers_logo_wordmark_2004_sportslogosnet-4138.png,268
Redlands,http://a.espncdn.com/i/teamlogos/ncaa/500/29.png,Other,#000000,#ffffff,,269
Rhode Island,http://a.espncdn.com/i/teamlogos/ncaa/500/227.png,FCS,#3691C6,#5ab3e8,5874_rhode_island_rams-wordmark-1989.png,270
Richmond,http://a.espncdn.com/i/teamlogos/ncaa/500/257.png,FCS,#9e0712,#b90b2e,richmond_spiders_logo_wordmark_2017_sportslogosnet-7137.png,271
Robert Morris,http://a.espncdn.com/i/teamlogos/ncaa/500/2523.png,FCS,#00214D,#a21d2b,5202_robert_morris_colonials-wordmark-2006.png,272
Rowan,http://a.espncdn.com/i/teamlogos/ncaa/500/2827.png,Other,#000000,#ffffff,,273
Sacramento State,http://a.espncdn.com/i/teamlogos/ncaa/500/16.png,FCS,#00573C,#cdb97d,7110_sacramento_state__hornets-wordmark-2004.png,274
Sacred Heart,http://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,FCS,#a40012,#c29472,2123_sacred_heart_pioneers-wordmark-2004.png,275
Saginaw Valley,http://a.espncdn.com/i/teamlogos/ncaa/500/129.png,Other,#000000,#ffffff,,276
Samford,http://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,FCS,#005485,#bc0023,2608_samford-wordmark.png,277
Sam Houston State,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,FCS,#F78F1E,#f78e1e,7125_sam_houston_state_bearkats-wordmark-2020.png ,278
San Diego,http://a.espncdn.com/i/teamlogos/ncaa/500/301.png,FCS,#2f99d4,#2f99d4,1630_san_diego_toreros-wordmark-2005.png ,279
Savannah State,http://a.espncdn.com/i/teamlogos/ncaa/500/2542.png,Other,#280298,#f78f1e,,280
Seton Hill College,http://a.espncdn.com/i/teamlogos/ncaa/500/611.png,Other,#000000,#ffffff,,281
Shenandoah,http://a.espncdn.com/i/teamlogos/ncaa/500/2828.png,Other,#000000,#ffffff,,282
Shepherd,http://a.espncdn.com/i/teamlogos/ncaa/500/2974.png,Other,#000000,#ffffff,,283
Shippensburg,http://a.espncdn.com/i/teamlogos/ncaa/500/2559.png,Other,#000000,#ffffff,,284
Slippery Rock,http://a.espncdn.com/i/teamlogos/ncaa/500/215.png,Other,#000000,#ffffff,,285
South Carolina State,http://a.espncdn.com/i/teamlogos/ncaa/500/2569.png,FCS,#7d1315,#104897,,286
South Dakota,http://a.espncdn.com/i/teamlogos/ncaa/500/233.png,FCS,#CD1241,#f0f0f0,south_dakota_coyotes_logo_wordmark_2012_sportslogosnet-8725.png,287
South Dakota State,http://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,FCS,#005DAB,#c33139,south_dakota_state_jackrabbits_logo_wordmark_20087754.png,288
Southeastern Louisiana,http://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,FCS,#007550,#dca008,southeastern_louisiana_lions_logo_alternate_2021_sportslogosnet-1759.png,289
Southeast Missouri State,http://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,FCS,#cc0000,#080808,7141_se_missouri_state_redhawks-wordmark-2003.png,290
Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png,FCS,#004B97,#ffc82d,southern_jaguars_logo_wordmark_20143856.png,291
Southern Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/79.png,FCS,#85283D,#c2c3c0,2628_sourthern_illinois-wordmark.png,292
Southern Oregon,http://a.espncdn.com/i/teamlogos/ncaa/500/2584.png,Other,#ffffff,#ffffff,,293
Southern Utah,http://a.espncdn.com/i/teamlogos/ncaa/500/253.png,FCS,#d10000,#c2c3c0,6837_southern_utah_thunderbirds-wordmark-2002.png ,294
St. Ambrose,http://a.espncdn.com/i/teamlogos/ncaa/500/2591.png,Other,#000000,#ffffff,,295
St. Cloud State,http://a.espncdn.com/i/teamlogos/ncaa/500/2594.png,Other,#000000,#ffffff,3967_st_cloud_state__huskies-wordmark-2000.png,296
Stephen F. Austin,http://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,FCS,#393996,#bec0c2,3581_stephen_f_austin_lumberjacks-wordmark-2020.png,297
Stetson,http://a.espncdn.com/i/teamlogos/ncaa/500/56.png,FCS,#18581c,#d49d5d,1424_stetson_hatters-wordmark-2018.png,298
St Francis (PA),http://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,FCS,#a20012,#ffffff,saint_francis_red_flash_logo_wordmark_2012_sportslogosnet-9987.png,299
St. Johns (MN),http://a.espncdn.com/i/teamlogos/ncaa/500/2600.png,Other,#000000,#ffffff,,300
St Lawrence,http://a.espncdn.com/i/teamlogos/ncaa/500/2779.png,Other,#000000,#ffffff,,301
Stony Brook,http://a.espncdn.com/i/teamlogos/ncaa/500/2619.png,FCS,#990000,#ffffff,1321_stony_brook_seawolves-wordmark-2008.png ,302
St. Peter's,http://a.espncdn.com/i/teamlogos/ncaa/500/2612.png,Other,#001555,#ffffff,saint_peters_peacocks_logo_wordmark_20033878.png,303
St. Thomas (MN),http://a.espncdn.com/i/teamlogos/ncaa/500/2900.png,FCS,#000000,#ffffff,st_thomas_tommies_logo_wordmark_2021_sportslogosnet-6061.png,304
Tarleton State,http://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,FCS,#000000,#ffffff,tarleton_texans_logo_wordmark_2018_sportslogosnet-8840.png,305
Tennessee State,http://a.espncdn.com/i/teamlogos/ncaa/500/2634.png,FCS,#383C84,#f0f0f0,tennessee_state_tigers_logo_wordmark_2021_sportslogosnet-3501.png,306
Tennessee Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2635.png,FCS,#5A4099,#ffde00,tennessee_tech-wordmark.png,307
Texas A&M-Commerce,http://a.espncdn.com/i/teamlogos/ncaa/500/2837.png,Other,#000000,#ffffff,,308
Texas Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,FCS,#6A0403,#ebebeb,,309
The Citadel,http://a.espncdn.com/i/teamlogos/ncaa/500/2643.png,FCS,#002b5c,#f0f0f0,the_citadel_bulldogs_logo_wordmark_2021_sportslogosnet-8256.png,310
Towson,http://a.espncdn.com/i/teamlogos/ncaa/500/119.png,FCS,#FFC229,#ffffff,towson_tigers_logo_wordmark_20111893.png,311
Trinity (IL),http://a.espncdn.com/i/teamlogos/ncaa/500/2652.png,Other,#000000,#ffffff,,312
Tuskegee,http://a.espncdn.com/i/teamlogos/ncaa/500/2657.png,Other,#000000,#ffffff,,313
UC Davis,http://a.espncdn.com/i/teamlogos/ncaa/500/302.png,FCS,#183563,#bc9305,california_davis_aggies_logo_primary_2019_sportslogosnet-1204.png,314
UMass Dartmouth,http://a.espncdn.com/i/teamlogos/ncaa/500/379.png,Other,#000000,#ffffff,,315
UMass Lowell,http://a.espncdn.com/i/teamlogos/ncaa/500/2349.png,Other,#000000,#cf1f2f,umass_lowell_river_hawks_logo_wordmark_2016_sportslogosnet-8837.png,316
UT Martin,http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png,FCS,#FF6700,#102a5c,tennessee-martin_skyhawks_logo_wordmark_2007_sportslogosnet-6564.png,317
Valdosta State,http://a.espncdn.com/i/teamlogos/ncaa/500/2673.png,Other,#000000,#ffffff,,318
Valparaiso,http://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,FCS,#794500,#ffffff,valparaiso_beacons_logo_secondary_2021_sportslogosnet-5978.png,319
Villanova,http://a.espncdn.com/i/teamlogos/ncaa/500/222.png,FCS,#123d7C,#f0f0f0,villanova-wordmark.png,320
VMI,http://a.espncdn.com/i/teamlogos/ncaa/500/2678.png,FCS,#E52D37,#eec52b,,321
Wagner,http://a.espncdn.com/i/teamlogos/ncaa/500/2681.png,FCS,#00483A,#ffffff,6105_wagner_seahawks-wordmark-2008.png,322
Washington (MO),http://a.espncdn.com/i/teamlogos/ncaa/500/143.png,Other,#000000,#ffffff,,323
Weber State,http://a.espncdn.com/i/teamlogos/ncaa/500/2692.png,FCS,#18005a,#ebebeb,weber_state_wildcats_logo_wordmark_20124993.png,324
West Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/2695.png,Other,#000000,#ffffff,,325
West Chester,http://a.espncdn.com/i/teamlogos/ncaa/500/223.png,Other,#000000,#ffffff,,326
Western Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/2717.png,FCS,#492F91,#bf9e70,western_carolina_catamounts_logo_wordmark_2018_sportslogosnet-3994.png,327
Western Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,FCS,#4e1e8a,#ffc90a,western_illinois_leathernecks_logo_alternate_2019_sportslogosnet-4628.png,328
Western Oregon,http://a.espncdn.com/i/teamlogos/ncaa/500/2848.png,Other,#000000,#ffffff,,329
West Texas A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/2704.png,Other,#000000,#ffffff,,330
West Virginia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2706.png,Other,#000000,#ffffff,,331
Wheaton College (Ill),http://a.espncdn.com/i/teamlogos/ncaa/500/396.png,Other,#000000,#ffffff,,332
William Jewell College,http://a.espncdn.com/i/teamlogos/ncaa/500/2911.png,Other,#000000,#ffffff,,333
William & Mary,http://a.espncdn.com/i/teamlogos/ncaa/500/2729.png,FCS,#103217,#f6b220,1623_william_and_mary_tribe-wordmark-2018.png,334
Winston-Salem,http://a.espncdn.com/i/teamlogos/ncaa/500/2736.png,Other,#bb0100,#ffffff,,335
Wisconsin-Platteville,http://a.espncdn.com/i/teamlogos/ncaa/500/272.png,Other,#000000,#ffffff,,336
Wofford,http://a.espncdn.com/i/teamlogos/ncaa/500/2747.png,FCS,#533B23,#f0f0f0,5306_wofford_terriers-wordmark-1987.png,337
Worcester State College,http://a.espncdn.com/i/teamlogos/ncaa/500/402.png,Other,#000000,#ffffff,,338
Wright State University,http://a.espncdn.com/i/teamlogos/ncaa/500/2750.png,Other,#a36209,#e2b629,wright_state_raiders_logo_wordmark_2017_sportslogosnet-8838.png,339
Yale,http://a.espncdn.com/i/teamlogos/ncaa/500/43.png,FCS,#004a81,#286dc0,yale_bulldogs_logo_wordmark_19951266.png,340
Youngstown State,http://a.espncdn.com/i/teamlogos/ncaa/500/2754.png,FCS,#E51936,#690717,7360_youngstown_state_penguins-wordmark-1993.png ,341
Dixie State,http://a.espncdn.com/i/teamlogos/ncaa/500/3101.png,FCS,#000000,#ffffff,dixie_state_trailblazers_logo_wordmark_2016_sportslogosnet-4022.png,343
Hofstra,http://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,Other,#27297c,#f6c934,6030_hofstra_pride-alternate-2005.png,344
Northeastern,http://a.espncdn.com/i/teamlogos/ncaa/500/111.png,Other,#cc0001,#c2c3c0,northeastern-wordmark.png,345
Shorter,http://a.espncdn.com/i/teamlogos/ncaa/500/2560.png,Other,#000000,#ffffff,,346
University of Mary,http://a.espncdn.com/i/teamlogos/ncaa/500/559.png,Other,#000000,#ffffff,,347
Adams St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/adams-st.svg,DII,NA,NA,,348
Alabama A&M,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-am.svg,DII,#790000,#ffffff,7289_alabama_am-wordmark.png,349
Albany St. (GA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-st-ga.svg,DII,NA,NA,,350
Alderson Broaddus,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alderson-broaddus.svg,DII,NA,NA,,351
Allen,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/allen.svg,DII,NA,NA,,352
American Int'l,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/american-intl.svg,DII,NA,NA,,353
Angelo St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/angelo-st.svg,DII,NA,NA,,354
Ark.-Monticello,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ark-monticello.svg,DII,NA,NA,,355
Arkansas Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-tech.svg,DII,#000000,#ffffff,,356
Ashland,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ashland.svg,DII,#000000,#ffffff,,357
Assumption,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/assumption.svg,DII,#000000,#ffffff,,358
Augustana (SD),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/augustana-sd.svg,DII,#000000,#ffffff,,359
Barton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/barton.svg,DII,NA,NA,,360
Benedict,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/benedict.svg,DII,#000000,#ffffff,,362
Bentley,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bentley.svg,DII,#000000,#ffffff,,363
Black Hills St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/black-hills-st.svg,DII,NA,NA,,364
Bowie St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bowie-st.svg,DII,NA,NA,,366
Cal U (PA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/california-pa.svg,DII,NA,NA,,367
Carson-Newman,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/carson-newman.svg,DII,#000000,#ffffff,,368
Catawba,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/catawba.svg,DII,#000000,#ffffff,,369
Central Mo.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/central-mo.svg,DII,NA,NA,,370
Central Okla.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/central-okla.svg,DII,NA,NA,,371
Central St. (OH),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/central-st-oh.svg,DII,NA,NA,,372
Central Wash.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/central-wash.svg,DII,NA,NA,,373
Chadron St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/chadron-st.svg,DII,NA,NA,,374
Charleston (WV),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/charleston-wv.svg,DII,#000000,#ffffff,,375
Chowan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/chowan.svg,DII,#000000,#ffffff,,376
Clarion,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/clarion.svg,DII,#000000,#ffffff,,377
Clark Atlanta,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/clark-atlanta.svg,DII,#000000,#ffffff,,378
Colo. Sch. of Mines,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado-mines.svg,DII,NA,NA,,379
Colorado Mesa,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado-mesa.svg,DII,#000000,#ffffff,,380
