franchise_id,team,current_team,current_mascott,division,conference,FBS,color,alt_color,logo,class,team_name
173,GAUN,Georgia,Bulldogs,East,SEC,1,#CC0000,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,Power 5,GEORGIA
174,GASO,Georgia Southern,Eagles,East,Sun Belt,1,#003775,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,Group of 5,GA SOUTHRN
175,GAST,Georgia State,Panthers,East,Sun Belt,1,#1e539a,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,Group of 5,GA STATE
176,GATC,Georgia Tech,Yellow Jackets,Coastal,ACC,1,#00223e,#002c56,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,Power 5,GA TECH
180,HIUN,Hawai'i,Warriors,West,MWC,1,#003420,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,Group of 5,HAWAII
182,TXHO,Houston,Cougars,West,AAC,1,#C90822,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,Group of 5,HOUSTON
187,ILUN,Illinois,Fighting Illini,West,Big Ten,1,#f77329,#fa6300,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,Power 5,ILLINOIS
190,INUN,Indiana,Hoosiers,East,Big Ten,1,#7D110C,#eeedeb,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,Power 5,INDIANA
192,IAUN,Iowa,Hawkeyes,West,Big Ten,1,#000000,#ffe100,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,Power 5,IOWA
193,IAST,Iowa State,Cyclones,NA,Big-12,1,#660015,#830b2c,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,Power 5,IOWA STATE
198,KSUN,Kansas,Jayhawks,NA,Big-12,1,#0022B4,#e8000d,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,Power 5,KANSAS
199,KSST,Kansas State,Wildcats,NA,Big-12,1,#633194,#e7d2ad,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,Power 5,KANSAS ST
201,OHKS,Kent State,Golden Flashes,East,MAC,1,#002445,#f0b510,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,Group of 5,KENT STATE
202,KYUN,Kentucky,Wildcats,East,SEC,1,#005DAA,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Power 5,KENTUCKY
206,VALB,Liberty,Flames,NA,IND,1,#071740,#a61f21,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,Group of 5,LIBERTY
207,LASW,Louisiana,Ragin' Cajuns,West,Sun Belt,1,#ce2842,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,Group of 5,LA LAFAYET
208,LATC,Louisiana Tech,Bulldogs,West,Conference USA,1,#002d65,#d3313a,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,Group of 5,LA TECH
209,LANE,Louisiana Monroe,Warhawks,West,Sun Belt,1,#231F20,#b18445,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,Group of 5,LA MONROE
210,KYLO,Louisville,Cardinals,Atlantic,ACC,1,#ad000a,#cccccc,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,Power 5,LOUISVILLE
211,LAST,LSU,Tigers,West,SEC,1,#22005c,#fdd023,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,Power 5,LSU
214,WVMA,Marshall,Thundering Herd,East,Conference USA,1,#186329,#be854c,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,Group of 5,MARSHALL
215,MDUN,Maryland,Terrapins,East,Big Ten,1,#D5002B,#ffcd00,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,Power 5,MARYLAND
216,MAUN,UMass,Minutemen,NA,IND,1,#880007,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,Group of 5,UMASS
